ts,raw_score,smoothed_score,band
1757811735,88.00,79.20,Moderate
1757811735,88.00,81.13,High
1757811735,88.00,82.65,High
1757811735,88.00,83.82,High
1757811735,88.00,84.74,High
1757811735,88.00,85.46,High
1757811735,88.00,86.02,High
1757811735,88.00,86.45,High
1757811736,88.00,86.79,High
1757811736,88.00,87.06,High
1757811736,88.00,87.27,High
1757811736,88.00,87.43,High
1757811736,88.00,87.55,High
1757811736,88.00,87.65,High
1757811736,88.00,87.73,High
1757811736,88.00,87.79,High
1757811736,88.00,87.83,High
1757811736,88.00,87.87,High
1757811736,88.00,87.90,High
1757811736,88.00,87.92,High
1757811736,88.00,87.94,High
1757811736,88.00,87.95,High
1757811736,88.00,87.96,High
1757811736,88.00,87.97,High
1757811736,88.00,87.98,High
1757811736,88.00,87.98,High
1757811736,88.00,87.99,High
1757811736,88.00,87.99,High
1757811736,88.00,87.99,High
1757811736,88.00,87.99,High
1757811736,88.00,87.99,High
1757811736,88.00,88.00,High
1757811736,88.00,88.00,High
1757811736,88.00,88.00,High
1757811736,88.00,88.00,High
1757811736,88.00,88.00,High
1757811736,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811737,88.00,88.00,High
1757811738,60.00,81.84,High
1757811738,60.00,77.04,Moderate
1757811738,49.53,70.98,Moderate
1757811738,48.43,66.02,Moderate
1757811738,88.00,70.86,Moderate
1757811738,88.00,74.63,Moderate
1757811738,88.00,77.57,Moderate
1757811738,88.00,79.86,Moderate
1757811738,60.00,75.49,Moderate
1757811738,88.00,78.25,Moderate
1757811738,88.00,80.39,High
1757811738,37.79,71.02,Moderate
1757811738,88.00,74.76,Moderate
1757811738,38.98,66.89,Moderate
1757811738,40.32,61.04,Moderate
1757811738,45.44,57.61,Moderate
1757811738,45.36,54.91,Mild
1757811738,41.76,52.02,Mild
1757811738,46.35,50.77,Mild
1757811738,39.20,48.23,Mild
1757811738,42.73,47.02,Mild
1757811738,41.84,45.88,Mild
1757811738,39.00,44.37,Mild
1757811738,38.31,43.03,Mild
1757811738,36.72,41.64,Mild
